dim1,dim2,dim3,num_threads,time (ns)
1700, 1000, 1400, 1, 1040479889
1700, 1000, 1400, 2, 758693603
1700, 1000, 1400, 3, 590176719
1700, 1000, 1400, 4, 757325950
1700, 1000, 1400, 5, 697811742
1700, 1000, 1400, 6, 612059550
1700, 1000, 1400, 7, 568490369
1700, 1000, 1400, 8, 646125471
1700, 1000, 1400, 9, 695815429
1700, 1000, 1400, 10, 785249009
1700, 1000, 1400, 11, 772739834
1700, 1000, 1400, 12, 800265437
1700, 1000, 1400, 13, 767449586
1700, 1000, 1400, 14, 751120702
1700, 1000, 1400, 15, 635213428
1700, 1000, 1400, 16, 821152171
1700, 1000, 1400, 17, 719914463
1700, 1000, 1400, 18, 794828275
1700, 1000, 1400, 19, 790452897
1700, 1000, 1400, 20, 794569206
1700, 1000, 1400, 21, 627616601
1700, 1000, 1400, 22, 780444768
1700, 1000, 1400, 23, 783068873
1700, 1000, 1400, 24, 676287764
1700, 1000, 1400, 25, 747147257
1700, 1000, 1400, 26, 579185476
1700, 1000, 1400, 27, 723002522
1700, 1000, 1400, 28, 774871648
1700, 1000, 1400, 29, 674475628
1700, 1000, 1400, 30, 748927431
1700, 1000, 1400, 31, 815765825
1700, 1000, 1400, 32, 821075692
1700, 1000, 1400, 33, 792990409
1700, 1000, 1400, 34, 838164360
1700, 1000, 1400, 35, 676501855
1700, 1000, 1400, 36, 842320725
1700, 1000, 1400, 37, 769868476
1700, 1000, 1400, 38, 822563352
1700, 1000, 1400, 39, 858976270
1700, 1000, 1400, 40, 779089878
1700, 1000, 1400, 41, 753842117
1700, 1000, 1400, 42, 799481271
1700, 1000, 1400, 43, 710189383
1700, 1000, 1400, 44, 754523489
1700, 1000, 1400, 45, 836051417
1700, 1000, 1400, 46, 767142619
1700, 1000, 1400, 47, 811950272
1700, 1000, 1400, 48, 856616687
1700, 1000, 1400, 49, 745023132
1700, 1000, 1400, 50, 558260313
1700, 1000, 1400, 51, 841292607
1700, 1000, 1400, 52, 769590428
1700, 1000, 1400, 53, 813145864
1700, 1000, 1400, 54, 580825353
1700, 1000, 1400, 55, 748990329
1700, 1000, 1400, 56, 763876849
1700, 1000, 1400, 57, 893440952
1700, 1000, 1400, 58, 821182308
1700, 1000, 1400, 59, 821757664
1700, 1000, 1400, 60, 710291891
1700, 1000, 1400, 61, 794887358
1700, 1000, 1400, 62, 768507705
1700, 1000, 1400, 63, 801066525
1700, 1000, 1400, 64, 715066342
1700, 1000, 1400, 65, 710584609
1700, 1000, 1400, 66, 816081423
1700, 1000, 1400, 67, 714164225
1700, 1000, 1400, 68, 652700010
1700, 1000, 1400, 69, 657181812
1700, 1000, 1400, 70, 695643028
1700, 1000, 1400, 71, 790023202
1700, 1000, 1400, 72, 799722885
1700, 1000, 1400, 73, 809932560
1700, 1000, 1400, 74, 775668751
1700, 1000, 1400, 75, 782365640
1700, 1000, 1400, 76, 730124418
1700, 1000, 1400, 77, 854576881
1700, 1000, 1400, 78, 750862285
1700, 1000, 1400, 79, 722071225
1700, 1000, 1400, 80, 687281386
1700, 1000, 1400, 81, 711078599
1700, 1000, 1400, 82, 834113142
1700, 1000, 1400, 83, 709911267
1700, 1000, 1400, 84, 800391620
1700, 1000, 1400, 85, 836116707
1700, 1000, 1400, 86, 661920618
1700, 1000, 1400, 87, 740878643
1700, 1000, 1400, 88, 700370651
1700, 1000, 1400, 89, 850037953
1700, 1000, 1400, 90, 741447634
1700, 1000, 1400, 91, 779516419
1700, 1000, 1400, 92, 818632851
1700, 1000, 1400, 93, 744035016
1700, 1000, 1400, 94, 682283048
1700, 1000, 1400, 95, 807907823
1700, 1000, 1400, 96, 813079872
1700, 1000, 1400, 97, 754565273
1700, 1000, 1400, 98, 774146482
1700, 1000, 1400, 99, 604205082
