dim1,dim2,dim3,num_threads,time (ns)
150, 200, 170, 1, 67438425
150, 200, 170, 2, 21113002
150, 200, 170, 3, 56889233
150, 200, 170, 4, 41599015
150, 200, 170, 5, 10153771
150, 200, 170, 6, 49356555
150, 200, 170, 7, 15011082
150, 200, 170, 8, 44518528
150, 200, 170, 9, 21358247
150, 200, 170, 10, 20735236
150, 200, 170, 11, 22732020
150, 200, 170, 12, 41085624
150, 200, 170, 13, 27719223
150, 200, 170, 14, 12190551
150, 200, 170, 15, 39960079
150, 200, 170, 16, 31263061
150, 200, 170, 17, 35993611
150, 200, 170, 18, 37277675
150, 200, 170, 19, 20942987
150, 200, 170, 20, 12710638
150, 200, 170, 21, 11883055
150, 200, 170, 22, 12149792
150, 200, 170, 23, 52495346
150, 200, 170, 24, 18579433
150, 200, 170, 25, 61080708
150, 200, 170, 26, 17820144
150, 200, 170, 27, 26540051
150, 200, 170, 28, 18158972
150, 200, 170, 29, 54057693
150, 200, 170, 30, 45857343
150, 200, 170, 31, 52371934
150, 200, 170, 32, 73469515
150, 200, 170, 33, 56170542
150, 200, 170, 34, 39990875
150, 200, 170, 35, 70756927
150, 200, 170, 36, 45662772
150, 200, 170, 37, 13552503
150, 200, 170, 38, 17234288
150, 200, 170, 39, 17184483
150, 200, 170, 40, 15635193
150, 200, 170, 41, 16143572
150, 200, 170, 42, 69864797
150, 200, 170, 43, 17699366
150, 200, 170, 44, 37166987
150, 200, 170, 45, 13466112
150, 200, 170, 46, 68006363
150, 200, 170, 47, 64586928
150, 200, 170, 48, 56066293
150, 200, 170, 49, 60036237
150, 200, 170, 50, 57415857
150, 200, 170, 51, 18620901
150, 200, 170, 52, 69570457
150, 200, 170, 53, 27555909
150, 200, 170, 54, 36077664
150, 200, 170, 55, 25528447
150, 200, 170, 56, 14529111
150, 200, 170, 57, 77307007
150, 200, 170, 58, 74118983
150, 200, 170, 59, 43316155
150, 200, 170, 60, 68577688
150, 200, 170, 61, 31663457
150, 200, 170, 62, 64384731
150, 200, 170, 63, 23350810
150, 200, 170, 64, 16772109
150, 200, 170, 65, 60556657
150, 200, 170, 66, 28731194
150, 200, 170, 67, 66584029
150, 200, 170, 68, 24807867
150, 200, 170, 69, 23384591
150, 200, 170, 70, 61916230
150, 200, 170, 71, 19037355
150, 200, 170, 72, 42960110
150, 200, 170, 73, 89065928
150, 200, 170, 74, 20291518
150, 200, 170, 75, 19015654
150, 200, 170, 76, 94340216
150, 200, 170, 77, 27199101
150, 200, 170, 78, 31611105
150, 200, 170, 79, 67631246
150, 200, 170, 80, 34276901
150, 200, 170, 81, 35669753
150, 200, 170, 82, 40722626
150, 200, 170, 83, 19112622
150, 200, 170, 84, 83846792
150, 200, 170, 85, 61295268
150, 200, 170, 86, 65483342
150, 200, 170, 87, 90857396
150, 200, 170, 88, 57583375
150, 200, 170, 89, 27779144
150, 200, 170, 90, 23425377
150, 200, 170, 91, 37404249
150, 200, 170, 92, 29034375
150, 200, 170, 93, 93236622
150, 200, 170, 94, 36363000
150, 200, 170, 95, 20092555
150, 200, 170, 96, 122198385
150, 200, 170, 97, 100909334
150, 200, 170, 98, 87969805
150, 200, 170, 99, 62747427
