dim1,dim2,dim3,num_threads,time (ns)
500, 500, 500, 1, 170142245
500, 500, 500, 2, 178797815
500, 500, 500, 3, 247096081
500, 500, 500, 4, 153087567
500, 500, 500, 5, 224118601
500, 500, 500, 6, 225959845
500, 500, 500, 7, 248915612
500, 500, 500, 8, 262751668
500, 500, 500, 9, 269272940
500, 500, 500, 10, 250430270
500, 500, 500, 11, 247010620
500, 500, 500, 12, 278585448
500, 500, 500, 13, 265395199
500, 500, 500, 14, 258332802
500, 500, 500, 15, 251318201
500, 500, 500, 16, 286808692
500, 500, 500, 17, 273049515
500, 500, 500, 18, 243730424
500, 500, 500, 19, 634142749
500, 500, 500, 20, 268758354
500, 500, 500, 21, 258071104
500, 500, 500, 22, 255742616
500, 500, 500, 23, 285943668
500, 500, 500, 24, 268810491
500, 500, 500, 25, 268960034
500, 500, 500, 26, 279469841
500, 500, 500, 27, 265579960
500, 500, 500, 28, 247911931
500, 500, 500, 29, 286679647
500, 500, 500, 30, 251937271
500, 500, 500, 31, 121597236
500, 500, 500, 32, 270288505
500, 500, 500, 33, 256170558
500, 500, 500, 34, 256183420
500, 500, 500, 35, 301231540
500, 500, 500, 36, 274634568
500, 500, 500, 37, 260305958
500, 500, 500, 38, 271369761
500, 500, 500, 39, 266997651
500, 500, 500, 40, 290585732
500, 500, 500, 41, 289399602
500, 500, 500, 42, 283462736
500, 500, 500, 43, 137030616
500, 500, 500, 44, 249057904
500, 500, 500, 45, 241688825
500, 500, 500, 46, 266661449
500, 500, 500, 47, 287836373
500, 500, 500, 48, 243649146
500, 500, 500, 49, 257657452
500, 500, 500, 50, 156573065
500, 500, 500, 51, 284518870
500, 500, 500, 52, 269313313
500, 500, 500, 53, 467786295
500, 500, 500, 54, 286405715
500, 500, 500, 55, 317932561
500, 500, 500, 56, 234814119
500, 500, 500, 57, 273947503
500, 500, 500, 58, 248646471
500, 500, 500, 59, 271510146
500, 500, 500, 60, 262666221
500, 500, 500, 61, 290414386
500, 500, 500, 62, 342401357
500, 500, 500, 63, 252002707
500, 500, 500, 64, 305087126
500, 500, 500, 65, 267051426
500, 500, 500, 66, 275985852
500, 500, 500, 67, 261218891
500, 500, 500, 68, 268742091
500, 500, 500, 69, 249313348
500, 500, 500, 70, 255410430
500, 500, 500, 71, 272991216
500, 500, 500, 72, 285502822
500, 500, 500, 73, 250734689
500, 500, 500, 74, 279379832
500, 500, 500, 75, 272398591
500, 500, 500, 76, 277209547
500, 500, 500, 77, 272231573
500, 500, 500, 78, 230478740
500, 500, 500, 79, 182810537
500, 500, 500, 80, 256765899
500, 500, 500, 81, 222885040
500, 500, 500, 82, 255763546
500, 500, 500, 83, 262247944
500, 500, 500, 84, 139349530
500, 500, 500, 85, 292598164
500, 500, 500, 86, 176815130
500, 500, 500, 87, 295613185
500, 500, 500, 88, 254870638
500, 500, 500, 89, 262747073
500, 500, 500, 90, 262902623
500, 500, 500, 91, 315347651
500, 500, 500, 92, 294828684
500, 500, 500, 93, 151539483
500, 500, 500, 94, 252802813
500, 500, 500, 95, 254048987
500, 500, 500, 96, 259386885
500, 500, 500, 97, 271849107
500, 500, 500, 98, 234407354
500, 500, 500, 99, 280985597
