dim1,dim2,dim3,TAT(ns),wait(ns),run(ns),switch_ovhd(ns),num_r_P1,num_r_P2,num_cs
10, 10, 10, 19331035, 18401252, 20009182, 222983, 10, 10, 20
60, 60, 60, 37989410, 36313653, 38000380, 158373, 19, 19, 38
110, 110, 110, 61222082, 57321981, 62000440, 204650, 29, 33, 62
160, 160, 160, 108826579, 101334957, 109000826, 397542, 51, 58, 109
210, 210, 210, 113292491, 111935537, 113867043, 286093, 52, 58, 110
260, 260, 260, 172358630, 175507823, 172811163, 409992, 74, 85, 159
310, 310, 310, 183143640, 201204304, 183721772, 323585, 73, 84, 157
360, 360, 360, 223161864, 229190064, 223088375, 492889, 85, 109, 194
410, 410, 410, 278992397, 192880926, 278654025, 611811, 90, 167, 257
460, 460, 460, 364722195, 300000515, 364754719, 934025, 114, 194, 308
510, 510, 510, 429778714, 267541965, 428516247, 1315904, 117, 263, 380
560, 560, 560, 547097769, 374024318, 546686946, 1269179, 145, 363, 508
610, 610, 610, 668227912, 277346895, 667284429, 1377308, 133, 410, 543
660, 660, 660, 794933660, 476111903, 793412074, 1577663, 168, 477, 645
710, 710, 710, 1078953081, 470864969, 1077621435, 2300535, 176, 633, 809
760, 760, 760, 1596153552, 744507231, 1591900529, 4540797, 369, 913, 1282
810, 810, 810, 2375567543, 694036322, 2369320351, 6274116, 341, 1259, 1600
860, 860, 860, 2289397050, 759858312, 2282632308, 6927526, 351, 1405, 1756
910, 910, 910, 3131703814, 1123289820, 3122741475, 9372192, 418, 1810, 2228
960, 960, 960, 2990562664, 984369105, 2982041784, 8541801, 402, 1722, 2124
1010, 1010, 1010, 4531863918, 905472866, 4511152230, 21171248, 446, 3195, 3641
1060, 1060, 1060, 4530070639, 994754201, 4515721006, 15235799, 490, 2813, 3303
1110, 1110, 1110, 6103851719, 1136627834, 6078090403, 26205668, 529, 4006, 4535
1160, 1160, 1160, 6655314749, 1519967181, 6613373478, 42330696, 647, 3993, 4640
1210, 1210, 1210, 8040091976, 1745545290, 8016463670, 24618414, 733, 4936, 5669
1260, 1260, 1260, 9190574385, 1845736194, 9154384478, 36233248, 858, 6191, 7049
1310, 1310, 1310, 11417679487, 1531994178, 11378432587, 39735897, 648, 6122, 6770
1360, 1360, 1360, 9214315307, 2088799910, 9179814006, 34813019, 917, 5849, 6766
1410, 1410, 1410, 13637902351, 2077474625, 13591639245, 46924498, 753, 8309, 9062
1460, 1460, 1460, 11822395825, 2243013898, 11783627700, 39219958, 865, 7536, 8401
1510, 1510, 1510, 16005831500, 2749138207, 15943947138, 61929368, 1000, 9273, 10273
1560, 1560, 1560, 13246199656, 2080831346, 13163592718, 82935107, 893, 8271, 9164
1610, 1610, 1610, 21545131602, 2888099838, 21410080639, 135367506, 1013, 14129, 15142
1660, 1660, 1660, 19347277337, 3313132607, 19288709571, 58926922, 1200, 10185, 11385
1710, 1710, 1710, 24937875540, 4212159840, 24837059809, 101377039, 1249, 13611, 14860
1760, 1760, 1760, 19163674936, 2676759425, 19096505297, 68130336, 1135, 11918, 13053
1810, 1810, 1810, 30975790195, 4030837972, 30745277311, 231410893, 1381, 16726, 18107
1860, 1860, 1860, 26420747601, 4444893164, 26318849787, 102127466, 1410, 14695, 16105
1910, 1910, 1910, 33433045081, 4322152532, 33310465731, 123406148, 1449, 18794, 20243
1960, 1960, 1960, 27814884732, 3502568712, 27684549111, 130616047, 1542, 16744, 18286
